"",条码,MAIN_MAC,MAIN_App版本,电压值,终端类型,MAIN_晶振测试值,MAIN_RSSI1,MAIN_RSSI2,电流值,测试失败项,测试时间,测试耗时,测试结果
"",P2M0CI230021,1599DDD5,00000000,6210,00014006,35788,9,9,2224,"",2018/3/5 星期一 17:05:25,64.07,true
"",P2M0CI230022,1599DDC9,00000000,6205,00014006,35788,9,9,2229,"",2018/3/5 星期一 17:08:34,67.958,true
"",P2M0CI230023,1599EF17,00000000,6249,00014006,35788,8,9,2192,"",2018/3/5 星期一 17:18:12,78.747,true
"",P2M0CI230024,1599C4F0,00000000,6225,00014006,35788,8,9,2216,"",2018/3/5 星期一 17:20:03,77.232,true
"",P2M0CI230024,"","",0,"",0,0,0,0,MAIN_BURNING,2018/3/5 星期一 17:21:19,13.055,false
"",P2M0CI230025,"","",0,"",0,0,0,0,MAIN_BURNING,2018/3/5 星期一 17:21:53,12.272,false
"",P2M0CI230025,159A0859,00000000,6243,00014006,35788,8,9,2206,"",2018/3/5 星期一 17:23:14,63.661,true
"",P2M0CI230026,159A0876,00000000,6173,00014006,0,0,0,0,Main_Auto_Test,2018/3/5 星期一 17:24:47,52.017,false
"",P2M0CI230026,159A0876,00000000,6176,00014006,35788,8,9,2148,"",2018/3/5 星期一 17:26:45,66.668,true
"",P2M0CI230026,159A0835,00000000,6219,00014006,35788,256,256,0,MAIN_RADIO,2018/3/5 星期一 17:28:32,73.388,false
"",P2M0CI230026,"","",0,"",0,0,0,0,START_BURNING,2018/3/5 星期一 17:28:58,9.24,false
"",P2M0CI230027,159A0835,00000000,6224,00014006,35788,9,9,2048,"",2018/3/5 星期一 17:30:09,62.637,true
"",P2M0CI230028,"","",0,"",0,0,0,0,START_BURNING,2018/3/5 星期一 17:30:53,5.558,false
"",P2M0CI230028,159A121A,00000000,6224,00014006,35788,9,9,2807,LOWPOWER_MODE,2018/3/5 星期一 17:32:07,63.619,false
"",P2M0CI230028,159A084C,00000000,6192,00014006,35788,9,9,2239,"",2018/3/5 星期一 17:33:46,69.897,true
"",P2M0CI230029,159A0815,00000000,6231,00014006,0,0,0,0,Main_Auto_Test,2018/3/5 星期一 17:35:18,51.771,false
"",P2M0CI230029,159A0815,00000000,6242,00014006,35788,9,9,1292,"",2018/3/5 星期一 17:38:08,76.841,true
"",P2M0CI230030,1599D0C9,00000000,6223,00014006,35788,9,9,2237,"",2018/3/5 星期一 17:39:54,66.826,true
"",P2M0CI230031,159A0845,00000000,6234,00014006,35788,8,9,2107,"",2018/3/5 星期一 17:42:35,62.109,true
"",P2M0CI230032,"","",0,"",0,0,0,0,START_BURNING,2018/3/5 星期一 17:43:19,5.7,false
"",P2M0CI230032,1599D0FD,00000000,6244,00014006,35788,8,9,49,"",2018/3/5 星期一 17:44:45,65.341,true
"",P2M0CI230032,1599D0CD,00000000,6238,00014006,0,0,0,0,TEST_BEEP,2018/3/5 星期一 17:46:15,46.582,false
"",P2M0CI230033,1599EF66,00000000,6214,00014006,35788,256,256,0,MAIN_RADIO,2018/3/5 星期一 17:49:29,73.977,false
"",P2M0CI230033,1599EF66,00000000,6226,00014006,35788,9,9,2028,"",2018/3/5 星期一 17:50:48,62.183,true
