ID,条码,MAIN_MAC,MAIN_App版本,电压值,终端类型,MAIN_晶振测试值,MAIN_RSSI1,MAIN_RSSI2,电流值,测试失败项,测试时间,测试耗时,测试结果
50,P2M0CI230021,1599DDD5,0,6210,14006,35788,9,9,2224,,2018/3/5 星期一 17:05:25,64.07,TRUE
51,P2M0CI230022,1599DDC9,0,6205,14006,35788,9,9,2229,,2018/3/5 星期一 17:08:34,67.958,TRUE
52,P2M0CI230023,1599EF17,0,6249,14006,35788,8,9,2192,,2018/3/5 星期一 17:18:12,78.747,TRUE
53,P2M0CI230024,1599C4F0,0,6225,14006,35788,8,9,2216,,2018/3/5 星期一 17:20:03,77.232,TRUE
54,P2M0CI230024,,,0,,0,0,0,0,MAIN_BURNING,2018/3/5 星期一 17:21:19,13.055,FALSE
55,P2M0CI230025,,,0,,0,0,0,0,MAIN_BURNING,2018/3/5 星期一 17:21:53,12.272,FALSE
56,P2M0CI230025,159A0859,0,6243,14006,35788,8,9,2206,,2018/3/5 星期一 17:23:14,63.661,TRUE
57,P2M0CI230026,159A0876,0,6173,14006,0,0,0,0,Main_Auto_Test,2018/3/5 星期一 17:24:47,52.017,FALSE
58,P2M0CI230026,159A0876,0,6176,14006,35788,8,9,2148,,2018/3/5 星期一 17:26:45,66.668,TRUE
59,P2M0CI230026,159A0835,0,6219,14006,35788,256,256,0,MAIN_RADIO,2018/3/5 星期一 17:28:32,73.388,FALSE
60,P2M0CI230026,,,0,,0,0,0,0,START_BURNING,2018/3/5 星期一 17:28:58,9.24,FALSE
61,P2M0CI230027,159A0835,0,6224,14006,35788,9,9,2048,,2018/3/5 星期一 17:30:09,62.637,TRUE
62,P2M0CI230028,,,0,,0,0,0,0,START_BURNING,2018/3/5 星期一 17:30:53,5.558,FALSE
63,P2M0CI230028,159A121A,0,6224,14006,35788,9,9,2807,LOWPOWER_MODE,2018/3/5 星期一 17:32:07,63.619,FALSE
64,P2M0CI230028,159A084C,0,6192,14006,35788,9,9,2239,,2018/3/5 星期一 17:33:46,69.897,TRUE
65,P2M0CI230029,159A0815,0,6231,14006,0,0,0,0,Main_Auto_Test,2018/3/5 星期一 17:35:18,51.771,FALSE
66,P2M0CI230029,159A0815,0,6242,14006,35788,9,9,1292,,2018/3/5 星期一 17:38:08,76.841,TRUE
67,P2M0CI230030,1599D0C9,0,6223,14006,35788,9,9,2237,,2018/3/5 星期一 17:39:54,66.826,TRUE
68,P2M0CI230031,159A0845,0,6234,14006,35788,8,9,2107,,2018/3/5 星期一 17:42:35,62.109,TRUE
69,P2M0CI230032,,,0,,0,0,0,0,START_BURNING,2018/3/5 星期一 17:43:19,5.7,FALSE
70,P2M0CI230032,1599D0FD,0,6244,14006,35788,8,9,49,,2018/3/5 星期一 17:44:45,65.341,TRUE
71,P2M0CI230032,1599D0CD,0,6238,14006,0,0,0,0,TEST_BEEP,2018/3/5 星期一 17:46:15,46.582,FALSE
