条码,MAIN_MAC,MAIN_App版本,电压值,终端类型,MAIN_晶振测试值,MAIN_RSSI1,MAIN_RSSI2,电流值,测试失败项,测试时间,测试耗时,测试结果
P2M0CI230026,159A0876,0,6176,14006,35788,8,9,2148,,2018/3/5 17:26,66.66,TRUE
P2M0CI230026,159A0835,0,6219,14006,35788,256,256,0,MAIN_RADIO,2018/3/5 17:28,73.38,FALSE
P2M0CI230026,,,0,,0,0,0,0,START_BURNING,2018/3/5 17:28,9.24,FALSE
P2M0CI230027,159A0835,0,6224,14006,35788,9,9,2048,,2018/3/5 17:30,62.63,TRUE
P2M0CI230028,,,0,,0,0,0,0,START_BURNING,2018/3/5 17:30,5.55,FALSE
P2M0CI230028,159A121A,0,6224,14006,35788,9,9,2807,LOWPOWER_MODE,2018/3/5 17:32,63.61,FALSE
P2M0CI230028,159A084C,0,6192,14006,35788,9,9,2239,,2018/3/5 17:33,69.89,TRUE
P2M0CI230029,159A0815,0,6231,14006,0,0,0,0,Main_Auto_Test,2018/3/5 17:35,51.77,FALSE
P2M0CI230029,159A0815,0,6242,14006,35788,9,9,1292,,2018/3/5 17:38,76.84,TRUE
P2M0CI230030,1599D0C9,0,6223,14006,35788,9,9,2237,,2018/3/5 17:39,66.82,TRUE
P2M0CI230031,159A0845,0,6234,14006,35788,8,9,2107,,2018/3/5 17:42,62.1,TRUE
P2M0CI230032,,,0,,0,0,0,0,START_BURNING,2018/3/5 17:43,5.7,FALSE
P2M0CI230032,1599D0FD,0,6244,14006,35788,8,9,49,,2018/3/5 17:44,65.34,TRUE
P2M0CI230032,1599D0CD,0,6238,14006,0,0,0,0,TEST_BEEP,2018/3/5 17:46,46.58,FALSE
P2M0CI230033,1599EF66,0,6214,14006,35788,256,256,0,MAIN_RADIO,2018/3/5 17:49,73.97,FALSE
P2M0CI230033,1599EF66,0,6226,14006,35788,9,9,2028,,2018/3/5 17:50,62.18,TRUE
P2M0CI230034,1599EF5A,0,6226,14006,35788,9,9,2172,,2018/3/5 17:53,128.55,TRUE
P2M0CI230035,1599EF22,0,6202,14006,0,0,0,0,Main_Auto_Test,2018/3/5 17:54,54.37,FALSE
P2M0CI230035,159A1245,0,6196,14006,35788,9,9,2237,,2018/3/5 17:56,73.16,TRUE
P2M0CI230036,1599EF22,0,6199,14006,35788,9,9,2160,,2018/3/5 17:58,65.78,TRUE
P2M0CI230037,1599EF6A,0,6216,14006,35786,0,0,0,MAIN_CRYSTAL,2018/3/5 17:59,54.5,FALSE
P2M0CI230037,1599EF3C,0,6237,14006,35788,8,9,2286,,2018/3/5 18:02,61.78,TRUE
P2M0CI230038,1599D0CD,0,6242,14006,35788,8,9,2188,,2018/3/5 18:07,64.58,TRUE
P2M0CI230039,1599D087,0,6214,14006,35788,54,49,0,MAIN_RADIO,2018/3/5 18:14,57.81,FALSE
P2M0CI230039,,,8,,0,0,0,0,GET_VOL,2018/3/5 18:15,38.37,FALSE
P2M0CI230039,1599D0C2,0,6251,14006,0,0,0,0,Main_Auto_Test,2018/3/5 18:19,207.91,FALSE
P2M0CI230039,1599D0C2,0,6270,14006,35788,9,9,896,,2018/3/5 18:21,106.71,TRUE
P2M0CI230039,1599D0C2,0,6262,14006,0,0,0,0,Main_Auto_Test,2018/3/5 18:23,55.37,FALSE
P2M0CI230039,1599D0C2,0,6249,14006,0,0,0,0,Main_Auto_Test,2018/3/5 18:24,50.87,FALSE
